ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1,Abu Dhabi,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,Abu Zabi;  United Arab Emirates,
2,Afghanistan,3.0000000000000000e+00,3.4000000000000000e+01,AFG,AFG-OO,2.0000000000000000e+00,A,Orient,,
3,Ajman,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-UA,2.0000000000000000e+00,A,Orient,United Arab Emirates,
4,Åland Is.,1.0000000000000000e+00,1.0000000000000000e+01,FIN,FIN-OO,1.0000000000000000e+00,,Europe,,self-governing I. province of Finland
5,Albania,1.0000000000000000e+00,1.3000000000000000e+01,ALB,ALB-OO,1.0000000000000000e+00,,Europe,,
6,Aleutian Is.,7.0000000000000000e+00,7.0000000000000000e+01,ALU,ALU-OO,1.3000000000000000e+01,,North America,,territory of U.S.A.
7,Algeria,2.0000000000000000e+00,2.0000000000000000e+01,ALG,ALG-OO,2.0000000000000000e+00,B,North Africa,,
8,American Samoa,6.0000000000000000e+00,6.0000000000000000e+01,SAM,SAM-AS,9.0000000000000000e+00,D,Samoan Islands,,unincorporated territory of U.S.A.
9,Andorra,1.0000000000000000e+00,1.2000000000000000e+01,SPA,SPA-AN,1.0000000000000000e+00,,Europe,,principality under Franco-Spanish sovereignty
10,Angola,2.0000000000000000e+00,2.6000000000000000e+01,ANG,ANG-OO,1.0000000000000000e+01,E,South Tropical Africa,,excluding Cabinda
11,Anguilla,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AG,1.5000000000000000e+01,,West Indies,,U.K. dependent territory
12,Antigua-Barbuda,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-AB,1.5000000000000000e+01,,West Indies,,
14,Armeniya,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AR,2.0000000000000000e+00,A,Orient,,
15,Aruba,8.0000000000000000e+00,8.1000000000000000e+01,ARU,ARU-OO,1.5000000000000000e+01,,West Indies,,self-governing I. of Netherlands Antilles
16,Ascension,2.0000000000000000e+00,2.8000000000000000e+01,ASC,ASC-OO,1.0000000000000000e+01,F,St Helena and Ascension,,I. Dependency of St.Helena
17,Ashmore and Cartier Is.,5.0000000000000000e+00,5.0000000000000000e+01,WAU,WAU-AC,7.0000000000000000e+00,,Australia,,External Territory of Australia
18,Australia,5.0000000000000000e+00,5.0000000000000000e+01,,,7.0000000000000000e+00,,Australia,Region 50 Australia,
19,Australian Antarctic Territory,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
20,Austria,1.0000000000000000e+00,1.1000000000000000e+01,AUT,AUT-AU,1.0000000000000000e+00,,Europe,,
21,Azerbaijan,3.0000000000000000e+00,3.3000000000000000e+01,TCS,TCS-AZ,2.0000000000000000e+00,A,Orient,Azerbaydzhan,
22,Azores,2.0000000000000000e+00,2.1000000000000000e+01,AZO,AZO-OO,2.0000000000000000e+00,C,Atlantic Islands,,self-governing I. Region of Portugal
23,Bahamas,8.0000000000000000e+00,8.1000000000000000e+01,BAH,BAH-OO,1.5000000000000000e+01,,West Indies,,
24,Bahrain,3.0000000000000000e+00,3.5000000000000000e+01,GST,GST-BA,2.0000000000000000e+00,A,Orient,,
26,Bangladesh,4.0000000000000000e+00,4.0000000000000000e+01,BAN,BAN-OO,5.0000000000000000e+00,,India,,
27,Barbados,8.0000000000000000e+00,8.1000000000000000e+01,WIN,WIN-BA,1.5000000000000000e+01,,West Indies,,
28,Bear I.,1.0000000000000000e+00,1.0000000000000000e+01,SVA,SVA-OO,1.0000000000000000e+00,,Europe,Bjornoya,I. of Svalbard (to Norway)
29,Belgium,1.0000000000000000e+00,1.1000000000000000e+01,BGM,BGM-BE,1.0000000000000000e+00,,Europe,,
30,Belize,8.0000000000000000e+00,8.0000000000000000e+01,BLZ,BLZ-OO,1.4000000000000000e+01,,Central America,,
31,Belorussiya,1.0000000000000000e+00,1.4000000000000000e+01,BLR,BLR-OO,1.0000000000000000e+00,,Europe,Belarus,
32,Benin,2.0000000000000000e+00,2.2000000000000000e+01,BEN,BEN-OO,1.0000000000000000e+01,A,West Tropical Africa,,
33,Bermuda,8.0000000000000000e+00,8.1000000000000000e+01,BER,BER-OO,1.5000000000000000e+01,,West Indies,,self-governing U.K. Crown Colony
34,Bhutan,4.0000000000000000e+00,4.0000000000000000e+01,EHM,EHM-BH,5.0000000000000000e+00,,India,,
35,Bioko,2.0000000000000000e+00,2.3000000000000000e+01,GGI,GGI-BI,1.0000000000000000e+01,B,Cameroons and Congo,,I. of Equatorial Guinea
36,Bolivia,8.0000000000000000e+00,8.3000000000000000e+01,BOL,BOL-OO,1.7000000000000000e+01,,West Tropical South America,,
37,Bonaire,8.0000000000000000e+00,8.1000000000000000e+01,NLA,NLA-BO,1.5000000000000000e+01,,West Indies,,self-governing I. of Netherlands Antilles
38,Bonin Is.,3.0000000000000000e+00,3.8000000000000000e+01,OGA,OGA-OO,4.0000000000000000e+00,,Eastern Asia,Ogasawara-Shoto,Is. of Japan
39,Bophutatswana,2.0000000000000000e+00,2.7000000000000000e+01,,,1.2000000000000000e+01,,South Africa,,Transvaal or Cape Province
40,Borneo,4.0000000000000000e+00,4.2000000000000000e+01,BOR,,6.0000000000000000e+00,C,Malay Islands,,comprises Brunei, Kalimantan, Sabah, Sarawak
41,Bosnia,1.0000000000000000e+00,1.3000000000000000e+01,YUG,YUG-BH,1.0000000000000000e+00,,Europe,Bosnia-Herzegovina,
42,Botswana,2.0000000000000000e+00,2.7000000000000000e+01,BOT,BOT-OO,1.0000000000000000e+01,E,South Tropical Africa,,
43,Bougainville,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,part of Papua New Guinea
44,Brazil,8.0000000000000000e+00,8.4000000000000000e+01,,,1.6000000000000000e+01,,East Tropical South America,Region 84 Brazil,
45,British Antarctic Territory,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,U.K. dependent territory
46,British Indian Ocean Territory,4.0000000000000000e+00,4.0000000000000000e+01,CGS,CGS-OO,1.1000000000000000e+01,,Madagascar and Mascarenes,,U.K. dependent territory comprising Chagos Archipelago
